playlist_id,track_ids
180,20571 19501 16846 14797 9034 11155 18349 6433 13838 8835
199,10825 14149 111 4756 10857 12879 6246 19067 20362 19956
210,15511 2 6281 13784 3859 18239 16072 15653 19382 13221
220,9093 11394 7936 521 5925 15651 30 12702 18303 4584
221,3729 4460 5978 7610 42 15314 4569 4444 17432 8836
227,10672 8483 16255 14149 1701 15270 17731 6776 4681 14033
228,8932 14022 20319 8683 5200 1670 5750 6154 14867 3951
231,16325 15931 10720 10513 1687 12485 8693 2897 9025 7055
235,6598 9580 6223 9283 14370 367 15011 7865 1992 18645
239,10111 6257 3113 3183 12346 2000 4591 18265 15322 5012
241,920 11633 5663 6281 9623 8303 10356 13312 19773 7744
244,4186 8058 16760 19781 11366 14451 11731 9447 14935 15805
255,7647 16690 2067 9510 1398 82 10264 873 17008 6407
256,17664 6606 20130 6943 6879 6873 6874 6875 6876 6877
258,20631 11366 3967 204 6781 2511 13213 17671 9148 2819
262,11578 4422 19364 7094 20206 4723 2627 3522 3892 1007
265,11200 8155 16009 2867 10074 603 20042 7210 3278 1026
268,5098 12297 9180 56 10975 17511 14149 6701 18995 2371
270,13435 18294 17435 19709 780 17192 638 19838 7941 7264
271,14306 8421 5751 12225 20403 1655 19781 8868 1205 4212
272,10244 13609 16948 1181 3826 19964 2776 11162 92 10206
275,20070 14957 5460 532 4393 9309 15440 9306 4480 19568
277,2886 15183 15149 5859 14730 2922 8640 2989 9919 13187
290,19302 10957 11173 2886 6154 2656 8502 16227 3951 6098
302,18486 5621 17405 17487 17649 10228 2485 14384 19908 10356
303,13052 12346 17062 9580 12815 5012 13875 18758 17635 9606
310,13259 20425 19802 6651 18826 10602 2559 17524 10953 3500
315,12742 1828 18963 1357 3195 6873 6875 6876 6877 6878
316,10984 13225 17670 9388 11074 3907 4947 6885 6873 6874
326,2644 376 10520 7475 20169 14204 12960 19713 5831 3630
332,1852 7450 7067 7456 12033 13034 15907 13990 19999 18661
337,8659 10644 15320 12095 911 7055 13784 12282 2 238
362,20021 11485 2052 16493 19424 13846 756 8227 12215 9331
365,2166 362 10784 18281 10957 2153 8540 5193 8872 1588
368,6021 14757 5336 162 12126 5929 12065 3073 4186 16760
370,11025 6078 5324 5455 1492 20558 6169 19509 7122 18679
378,4526 4707 18854 13155 11282 16465 15624 5674 1156 1830
392,19610 3186 8223 17786 16406 7267 18493 5997 13959 8610
401,6712 10884 914 8879 2075 2777 3766 11001 19974 9342
403,13749 8736 20135 15223 7027 4688 6732 14456 9424 16340
407,10553 9445 15593 6172 13635 17932 2821 2657 11550 14490
408,3729 15440 2723 4480 15199 9306 7831 156 5233 9447
413,10172 20135 19433 5787 20632 19908 13413 5441 2485 11768
422,10408 3256 13610 14218 13661 7118 8879 1307 2075 12771
432,12698 11263 10230 3392 6287 6505 7021 7931 11343 13934
437,1459 12698 2474 19048 12581 2821 4457 14490 5893 1979
441,19860 7398 6169 12994 4749 14256 405 4865 7904 9508
448,14659 6534 212 968 1674 20151 18180 18498 13867 18335
451,102 2018 2957 1422 2544 8134 3121 11993 2497 16994
452,7404 14007 4376 702 8383 873 14346 2067 15862 13006
455,10316 17379 3382 2455 18898 18625 3880 9528 9215 6860
460,9537 11107 12497 16236 12425 14885 18088 6411 16612 3570
467,8297 10926 2392 20121 19205 16861 15543 3919 9594 4185
470,10308 8610 8491 13642 6794 16493 2052 17768 10507 12639
492,15740 10191 10506 14091 19460 13448 7592 18176 4066 13016
495,3896 1678 5925 2638 9508 11573 7904 2809 16718 7039
497,7972 1963 2723 15199 8472 7831 14583 5699 7397 8412
500,3485 19513 5389 20021 10839 12670 19433 3639 19781 19479
504,12061 6447 8113 3195 18963 13113 1828 1357 7802 17132
505,10975 14919 4749 14256 20634 6872 6873 6874 6875 6876
509,19457 8491 13642 12639 6109 3892 2627 8767 11664 9689
514,2046 17972 15580 17195 13980 3729 5453 11959 8728 18716
515,9611 6947 3945 5352 108 15714 68 8978 19735 12754
527,952 20022 9758 19162 13459 16282 3937 2561 12258 6873
528,19781 1789 10852 1852 8564 19878 6829 4903 9309 4393
529,20483 16595 11993 14160 19202 911 9025 7055 12095 17649
532,19819 1012 8265 18578 15458 4996 4079 2126 5947 8309
537,7098 20373 5542 18986 19972 17907 10239 19833 1929 5476
545,6367 16697 18285 16465 1041 18854 1830 6925 6880 6879
552,16087 10067 18404 16227 5400 8600 2116 14022 20130 6943
554,11627 1655 467 3399 8367 1232 5815 13002 12314 14591
558,4052 11578 14400 8580 17528 20046 8647 12203 12625 9829
559,16948 7199 17778 11380 9940 15885 2656 14201 15589 1252
564,13310 7622 11882 15722 268 15252 5570 11930 13056 3010
567,14670 10561 20634 6880 6873 6874 6875 6876 6877 6878
574,6697 238 12282 11485 16493 2052 1919 18138 17510 11600
580,8118 2756 11943 16891 5122 7817 14433 17495 13642 17768
581,10644 1678 19638 4044 6486 11886 603 20056 19339 5536
582,10191 1042 5925 11518 13744 17720 1128 19339 20571 17839
592,10984 18669 12096 17873 14478 10322 12076 6879 6873 6874
595,13187 8506 17281 8357 5233 1774 156 13440 19704 20572
601,13257 6896 7718 10114 14769 7323 6963 15101 9594 14232
603,18612 6066 6896 7718 6523 14142 5415 19444 6018 6963
604,9258 9182 13720 15151 9494 8129 9770 17345 9574 12369
611,7868 17355 144 20099 9414 6773 7807 815 15400 12162
615,4201 10561 6881 6873 6874 6875 6876 6877 6878 6879
619,2447 19596 3565 9784 13089 18303 20076 11715 2166 6577
622,15998 1352 7667 20487 11193 7744 4496 13312 5273 19773
625,19596 3229 7172 9648 6374 17463 19858 2600 11205 7019
628,12623 5201 1852 3842 20571 19878 16395 3097 20165 1970
631,14992 19494 3990 17602 14365 11938 7 5987 16360 9805
633,6169 20515 14824 3729 2723 14758 15199 7831 5647 16535
636,6963 19656 20012 10841 11096 16662 2906 6066 4244 14412
642,19320 8016 3932 3073 6829 4903 12065 15314 5978 17432
643,11025 11632 16226 1012 14375 5314 11627 7172 17463 3229
646,16486 3392 16466 19674 7055 18874 911 5905 12783 9025
665,3574 3932 18601 17972 4946 15417 10523 6354 2046 1201
667,13838 6433 1840 8835 12765 8361 1117 3304 16557 477
676,1836 13321 19320 19078 3542 16690 9942 7647 314 15970
680,3072 18953 4940 11158 2289 7823 18452 6577 13243 16358
683,15688 10193 12516 14117 2759 8142 394 13824 6680 1276
686,9670 10203 5844 4532 11096 20012 6963 19656 9561 5166
691,19638 6169 17925 14400 18817 13002 5536 11084 19339 14724
696,2289 8436 7273 15563 13939 16658 9056 17486 19472 8832
703,1313 14824 11204 11793 1252 1796 4032 1977 12314 18452
704,10399 12987 17965 3830 2048 5141 18653 15951 6857 6876
707,14585 7456 19781 17002 15279 5197 5939 1674 12154 968
708,5901 14646 3326 19022 11870 5054 11835 10019 11478 19156
709,12897 11279 4116 3072 18953 9996 1381 5758 3471 13703
714,5542 217 18140 5374 2886 9957 4796 6302 15625 2166
715,1656 5751 1796 16486 17545 14306 920 2755 20056 387
717,15017 958 413 2330 9846 11416 15309 4824 15352 7443
719,2676 19060 17993 10222 15448 2680 15947 16975 6872 6873
721,360 16690 9309 4393 7647 7503 18706 15440 7007 19384
722,19674 13129 10304 8077 2974 10377 2692 10930 10900 15087
724,13003 16015 13043 6374 9648 8564 4584 3768 18062 7208
731,10839 7925 5030 5799 5801 5192 19935 4848 19589 6648
735,5647 16535 8659 5912 11800 7610 4569 5978 17432 42
737,519 15038 20634 6882 6875 6876 6877 6878 6879 6880
740,8709 19262 5631 5267 10984 10322 7936 12076 11394 1653
744,19426 11520 12587 11636 16721 15434 19513 3884 19910 874
746,8972 8502 10379 9257 8942 17608 11670 17586 18448 4581
757,3780 16803 8659 10839 18033 12 616 3182 8303 10356
759,19474 4363 4397 6439 10627 10989 9215 9528 6883 6882
770,9685 19628 8932 8610 10308 14826 5621 18981 20016 11976
773,16295 9919 13187 11869 20269 18840 15181 20230 14561 7889
774,19844 19953 16420 16685 16461 16796 17420 8091 15105 8570
788,17392 1252 1327 18760 2466 19202 12154 1674 968 18841
791,8610 10308 14608 4288 425 13990 13034 15907 17826 17649
804,15748 6565 15680 16698 8464 8767 5606 18503 18875 19217
807,9741 16803 5152 14826 17405 1111 17649 4026 2018 9550
818,19302 16325 10159 55 2922 8640 6819 20163 508 1840
837,734 1121 19638 11518 17925 6557 13158 17920 17184 11793
848,268 3625 10745 13625 13074 12724 1772 9245 16370 3769
854,12181 14125 6410 5587 7417 7140 20634 6874 6875 6876
856,19280 10957 8540 14984 2153 15575 19284 9557 6899 17330
859,17669 15913 18995 5925 17511 20153 6697 5374 18940 6581
882,1852 20248 15844 8822 19122 17921 7246 4083 12693 16910
914,20101 17925 2615 10358 2485 19908 8303 10356 3519 394
916,15624 19091 16697 6367 18479 5252 4707 19775 14848 16621
924,8118 16461 15105 8091 16685 16475 5089 1197 18401 6880
925,2776 3160 6734 13875 18758 2551 16370 12468 9235 4940
926,425 603 9569 18874 15771 5905 9960 14008 7033 5422
927,18870 6258 11263 16921 10618 7363 13243 1979 5443 6577
928,2615 18598 10172 13642 8491 1133 8050 2664 14249 4288
938,142 7210 19037 20042 2980 3156 170 11477 12307 3122
949,3267 9489 5957 3347 5647 5837 2506 16535 20634 6876
951,1386 18995 1459 9257 2166 19878 10379 20571 1574 16263
953,16875 19378 4278 20314 15149 5859 3684 2 8724 19055
957,5044 10043 17052 18111 19464 15042 17639 20208 11853 17971
961,12071 2435 7416 19450 7309 3163 10206 3961 15356 6865
962,5925 8890 15716 6888 6887 6873 6874 6875 6876 6877
963,13798 13938 3985 1513 7558 17778 13625 15262 14611 6461
964,9568 6579 11595 13960 11102 12111 18344 10293 3321 1298
976,411 10417 20156 8304 7588 20094 866 1387 15016 4463
981,3701 18907 12709 19339 15626 5524 6625 8835 1840 13838
984,11010 2095 14806 5430 14031 18910 7709 8835 8437 12765
988,18989 12794 18490 6695 6104 6879 6873 6874 6875 6876
994,6113 13384 16351 5967 19156 2658 17138 6880 6875 6876
995,15183 14662 6370 17983 1442 16362 10066 3355 19604 1134
1004,7027 15223 13243 17363 18627 12516 4288 425 14608 8865
1009,13784 2 2617 394 13117 120 13824 8142 11143 16615
1011,10147 14306 17944 1205 12361 5751 9563 8033 6381 4613
1016,17228 16325 6006 8683 10433 6943 20130 12775 14172 8566
1017,4679 13498 19364 8421 3780 2485 19908 17944 17983 394
1018,15916 7405 20099 200 17355 2153 734 8540 15938 4450
1021,4443 6193 3228 6986 9028 9914 9770 17345 9574 6440
1027,8584 17641 1323 9438 15885 8165 17318 19862 17967 15563
1031,7649 9663 1453 8367 9489 3267 6794 10507 3238 8019
1034,943 16631 7332 4814 2735 17856 6878 6873 6874 6875
1035,5268 16012 10698 17670 14867 6606 6154 18940 5736 4774
1045,10458 8843 16866 1405 10202 15833 17580 12083 18739 6811
1046,19610 6650 1452 1276 2759 6680 11724 8916 5967 6255
1050,7891 13357 7289 14182 16923 16309 3729 17538 17840 14527
1052,18275 5284 1386 6704 12056 5268 13373 16012 8921 2692
1056,2135 8113 19300 8885 14827 12560 3130 15809 12218 369
1057,20618 19834 7100 14012 15168 14091 12906 17193 19504 9963
1065,9326 2630 3002 14739 1453 8426 18956 18287 10838 3602
1066,8580 1762 7076 3622 6466 4212 4422 11578 7904 4865
1070,15718 3544 19478 8013 7798 2736 11768 12706 19043 20386
1073,10686 5593 3771 16173 4436 5092 725 9136 14558 7481
1083,20334 1963 5418 3558 4186 14591 8058 9105 16760 4480
1087,10360 2615 1133 772 10417 4514 425 16369 4288 8050
1092,14306 7100 19834 12426 1678 4337 9579 2755 20056 6914
1094,14585 514 7631 6325 3130 14824 20592 13511 15582 18707
1098,16873 14898 17401 8799 11374 6063 16830 1033 19357 3564
1099,20314 19859 13622 648 13824 16994 12639 1085 13029 8767
1103,10074 142 17258 10089 17857 13180 12507 1163 15146 3564
1104,14400 3392 2907 19320 19610 19243 1403 8498 9473 8720
1106,20099 4707 4526 8540 142 2153 17258 15624 5674 1156
1108,16662 6523 6963 15655 19656 10841 6855 6871 6873 6874
1115,16005 9984 20150 13852 3002 5947 19302 7019 10635 2600
1120,15969 17842 5540 18171 11211 10019 12179 6878 6873 6874
1122,18773 9093 10379 18987 9257 13817 16055 20332 4747 6880
1126,13129 3047 2630 4858 13642 8491 5735 120 2617 6794
1128,15873 4850 16905 13624 3235 3764 16809 14513 14382 17637
1129,9136 4201 7434 8534 17379 342 7980 13491 2179 5384
1147,13238 10257 15543 2392 20121 6197 8297 18057 6787 6881
1161,8659 2190 17057 9978 12284 772 17649 17405 17487 1111
1163,5201 9003 18404 16067 15270 19347 20329 714 18293 7908
1164,3951 3632 13628 16718 2897 7039 2809 15613 18822 9978
1169,8600 1032 14022 3890 6154 16087 6943 628 20130 11930
1173,20572 11693 19704 6333 4389 8058 16760 3885 9105 18381
1174,11316 491 14135 19045 6873 6878 6877 6879 6876 6875
1176,10863 2384 15464 15969 4609 1766 7021 2009 1385 8288
1185,15168 4437 10966 10760 4379 6153 9740 11327 6858 6874
1210,9245 18225 8079 1403 6038 7888 17803 7962 19526 3752
1223,19584 16798 12557 19602 2615 19244 18836 2002 13066 13094
1224,14342 14636 4694 3719 5893 4857 20417 13908 12396 2714
1226,12639 4731 6178 19699 8953 14023 16314 14770 9685 8016
1233,6498 3077 9007 14604 349 7798 4467 20135 13187 13297
1237,10742 9201 16873 747 17311 10619 11141 15631 7321 6735
1238,7077 6629 1930 20386 8491 13642 6602 1353 15073 12706
1243,18578 18312 13642 14659 8491 14561 19624 11817 5892 7889
1244,18822 15613 20634 6879 6873 6874 6875 6876 6877 6878
1246,13798 18265 10583 5012 6223 15488 9580 15322 18540 12469
1254,7886 20216 8767 12639 648 15907 13990 13034 17826 15373
1257,5128 17325 4704 9093 5197 9563 5939 10470 17464 1970
1268,20135 3373 20501 2247 1840 8835 12765 13838 17839 15223
1274,10191 11563 17545 11518 7058 6599 9513 12717 616 11775
1284,8126 14930 5699 8472 3197 19730 12781 11582 134 8517
1285,8849 8540 16385 18116 9317 3876 4346 1588 5193 12668
1287,9529 7853 6302 15149 7611 13125 4955 10839 20131 2404
1294,20422 8516 14155 5476 10239 19833 5224 9447 14451 1929
1297,7352 4743 19802 1194 8004 4774 4128 10738 2792 6863
1300,9182 15308 13335 7019 10635 2600 6137 8598 11534 20238
1302,13243 13113 1357 12742 14827 18763 514 11632 5893 19597
1316,10873 7719 12698 9011 14227 206 4541 15263 18870 19024
1319,10698 305 2755 13631 20056 2851 6879 6874 6875 6876
1331,17801 4278 4928 9579 6620 10839 6486 4052 20056 1701
1332,12774 4194 17401 14898 2617 120 13117 7009 11731 14451
1339,14412 9594 4185 4068 3963 3725 10350 10973 10257 909
1341,10689 18446 1852 16312 9995 19250 8215 19241 17920 5330
1343,16612 10496 18855 6892 13671 12999 4259 2888 18058 4186
1346,7516 11251 412 8683 12994 5764 6879 6874 6875 6876
1350,12346 16370 7012 18645 14370 4553 3160 19932 12012 8672
1353,9309 20018 16612 8030 7960 14348 13981 12855 11600 3790
1362,15249 12239 19386 7926 20472 16865 14173 6847 13823 5647
1363,6764 14904 11744 14178 1372 18161 3996 8152 20634 6879
1370,14007 19939 16474 11150 7464 674 11896 2948 19211 6155
1371,13803 17228 5925 12587 3537 15511 10627 6439 19339 12709
1374,8500 17952 13803 5098 4085 56 2126 4079 10618 5443
1379,17247 6435 9557 6879 6878 6880 6876 6877 20634 6874
1383,13312 5273 4496 7744 19773 9998 9965 6101 7399 12974
1390,19331 8626 3951 5787 7039 7021 4592 13627 3330 13413
1391,4694 3361 6594 2183 20634 6881 6876 6877 6878 6879
1395,18826 20319 16921 2801 20101 16536 1300 6441 15308 10356
1398,11970 13041 19343 14079 5121 12313 17468 10936 5126 15303
1402,790 4643 5761 19305 2006 15666 7886 20571 13776 12087
1404,5023 13291 18239 3901 17903 6068 18823 5751 7118 6618
1415,13418 8488 12414 5725 7065 2811 13561 16199 104 1681
1417,1763 12573 826 11227 9770 17345 18244 18948 903 9574
1418,9494 20502 1763 13720 15392 12804 5492 3696 17345 9770
1433,13089 2649 19606 2615 16466 8367 2088 9739 5413 14734
1444,6113 8686 3130 10839 10095 16351 2789 5536 1813 3631
1454,5203 5073 20135 15837 10466 12762 6459 16583 2858 9753
1456,19075 20297 2755 19863 4433 4598 6383 16126 11302 15077
1463,14401 18382 9594 4185 5887 18862 14958 5812 18057 8297
1473,9739 11498 16655 9338 20405 20619 14453 19907 4412 19878
1481,18656 5389 18743 17401 14738 2081 2755 20056 14898 19305
1505,5142 13003 17017 4368 20120 3706 20213 15598 11100 19999
1519,9663 7886 16415 9655 15713 13548 14665 1195 4113 17568
1524,4869 14534 2477 10108 13210 6534 3206 6230 14659 5279
1526,9749 2214 20075 11326 19590 5505 13965 12775 8566 1487
1534,8297 15543 19205 20121 2392 6874 6875 6853 6876 6877
1535,11145 11996 6787 6764 6441 20632 8019 3238 16969 19071
1536,20617 3047 20578 19590 7798 12052 10259 18213 9919 13902
1537,1156 15624 7436 11970 13041 19775 16621 14848 16465 11282
1542,20244 7066 17396 5473 20417 12396 13908 20634 6873 6874
1545,7762 8206 12432 20131 3094 6667 2404 15234 6296 2022
1554,7649 4541 6265 5092 16173 12987 2048 3514 17965 10399
1560,15430 18382 4185 9594 352 5609 10350 10973 12582 1982
1570,2193 14772 1585 13431 2115 16685 19385 16461 8091 6196
1573,12426 18907 4359 11578 19628 12975 3171 17154 1970 15770
1579,18533 5540 8283 15464 18794 9036 20634 6879 6874 6875
1580,15861 801 2216 16685 8091 19385 15105 6885 6886 6872
1582,20405 18033 16626 11404 17958 20165 13959 5997 15499 7267
1583,13625 9940 13875 17635 7961 18758 9606 15988 3183 6257
1588,7611 13225 9612 13129 15460 6879 6873 6874 6875 6876
1590,15328 4811 2173 6863 6872 6884 6883 6882 6881 6880
1601,9663 19064 2756 914 16891 3461 12651 7476 10884 575
1609,8118 7085 14738 1815 11943 13642 2081 1674 968 12154
1627,8558 6036 11753 6145 10715 19651 4954 2436 10776 13971
1629,18940 5267 18420 2656 9816 16021 14993 14033 6776 1653
1631,869 12780 20344 18907 2615 11599 8680 17287 238 20042
1634,4996 8506 20468 14930 8357 2662 6418 15863 7447 14959
1636,13374 1948 20212 56 20634 6880 6875 6876 6877 6878
1637,5201 19347 6697 12056 6704 17141 10117 13218 979 9026
1639,20459 305 13886 19028 9602 13946 9231 14033 9843 3768
1650,968 12154 1674 13691 12425 6411 11699 11373 14885 12262
1652,8787 134 9178 3687 8517 19921 18786 11446 15907 17826
1661,8223 18578 20443 11775 2617 13117 376 10520 120 19080
1664,1398 10264 14346 2067 14935 15805 7734 1196 16314 1975
1673,6006 16718 2809 406 7904 10737 9508 1914 405 11573
1675,5161 13386 15055 12202 4730 17479 11566 9063 4567 13928
1679,20540 20061 226 12040 4665 10570 3940 9138 14363 14190
1680,12461 5666 12574 10289 6692 8220 17798 1092 10069 9735
1682,1290 15916 17238 17661 2534 9269 9913 3500 10953 19846
1691,6293 9182 16503 20396 7658 2379 8855 4361 10347 14676
1692,8540 2153 6819 13180 55 12507 6971 579 9202 3564
1701,14797 18490 4955 8206 14795 18566 11230 1590 674 7464
1703,10458 8843 6237 20617 16466 11633 920 15073 13463 2018
1705,746 4593 15713 7886 20122 4429 8472 5699 14583 9474
1707,11768 5441 9422 14571 13094 14239 9792 1591 19631 2002
1710,5992 3985 16370 12565 18154 7012 16079 7309 10612 8547
1712,11825 19354 13338 6956 20555 7001 783 3576 5669 4305
1713,10485 1069 13368 1899 2436 5112 10776 13971 15725 19023
1722,19674 4908 7332 7550 11014 17856 4814 2735 1822 19227
1725,11749 411 10417 16847 12739 519 14128 8610 10308 16559
1729,7899 8932 2 6483 15308 142 13335 17258 16331 18129
1730,4123 18755 3010 19646 17778 9775 17770 12600 11279 12712
1731,5901 12892 6113 5540 15969 15364 16489 15947 15448 1886
1734,11422 5775 10348 413 9846 11416 6245 16144 9120 18498
1736,14833 7862 16528 18761 17281 13187 14021 13524 15881 2303
1740,6963 15627 2869 16909 7910 1048 18701 14100 11968 20019
1742,8367 17487 14826 17649 17405 2756 8491 11943 16891 16969
1747,10237 2909 2591 6603 6886 6880 6874 6875 6876 6877
1755,17184 6169 13158 1042 15982 19092 12584 8381 5036 15400
1766,16536 6390 16325 1252 9663 20206 12021 15073 7094 2086
1770,8357 8506 7464 1590 674 13006 18446 280 15907 14077
1777,11779 1121 11693 4389 19704 6333 13187 9919 8724 10567
1806,4052 14400 11775 13463 12314 13002 19878 20571 10022 4871
1807,4288 14608 19244 18836 15893 2002 9792 1605 20051 2777
1814,6931 5909 9494 19311 14026 20265 3696 5492 18608 10822
1820,18156 12040 12176 2397 1279 20634 6880 6874 6875 6876
1821,19781 3932 3729 8058 4186 16760 14591 748 4480 17961
1823,4189 13265 5712 6557 19674 11578 15916 19628 19638 18158
1852,12186 5769 20099 2229 7611 4085 17990 19630 17243 8425
1854,12639 12095 7055 14608 425 7649 14009 9663 5905 15771
1855,16873 17839 15769 8220 8179 8317 10289 1092 10069 16361
1871,9822 14234 5188 16694 15358 7427 19150 15256 319 2890
1872,11144 9663 17868 11907 6878 6872 6873 6874 6875 6876
1876,14400 12706 20386 18874 1149 15771 12783 8058 9105 4186
1878,19648 17873 19347 16067 6104 12096 8173 12076 10322 7114
1880,6602 7464 674 14859 4376 14007 125 6799 9118 7527
1881,17019 13212 2581 8540 1588 3876 12668 16433 13402 4346
1883,12033 12709 19339 13497 9107 9392 3077 6498 6435 17247
1885,102 2018 5787 13413 1133 17346 1714 8019 5359 3551
1898,3229 16277 8500 11632 7739 15989 4062 12708 9648 13934
1900,4656 20131 8400 11006 2404 6667 20349 3290 14612 15329
1903,5454 4530 17644 8753 805 14664 16061 17494 7963 3022
1904,11518 5751 1678 8045 11496 3631 3896 2809 16718 5536
1906,14824 2015 577 18363 2997 5108 20260 9490 14581 12692
1907,14182 16309 16612 10237 9942 3542 8506 8357 16535 7925
1911,14702 7734 16314 19699 14023 14770 1196 2437 2930 9510
1912,17897 20248 17411 13091 3399 11101 15926 13551 7397 8412
1916,20634 6851 6873 6874 6875 6876 6877 6878 6879 6880
1927,7060 12717 5576 7058 6599 15373 17997 1895 8798 14367
1930,11943 20282 5606 10417 963 12639 20156 8767 15771 5905
1939,20314 16577 5110 16087 15769 17839 11264 8776 14819 4646
1944,10927 15885 16370 12346 3493 9940 17585 11801 15897 8633
1948,1666 4937 4014 1242 15500 6373 16012 13373 5268 7605
1953,5201 6408 17664 10067 393 18127 6697 5925 7194 6943
1957,3182 4749 6881 6874 6875 6876 6877 6878 6879 6880
1958,10503 18995 11400 20179 11318 1383 6705 13113 1828 3195
1959,6697 7611 17228 5925 11158 8173 6104 9173 18845 9098
1963,16612 19320 16760 9105 3885 8058 11814 17245 13213 3967
1967,4016 8116 15150 8446 6381 6092 4816 4309 951 3943
1969,18564 13622 8142 13824 9784 3565 2649 13089 6879 6875
1978,1484 6896 9594 18382 4185 14958 18862 1052 5812 8297
1979,9202 11800 10074 20135 12507 3564 13180 4379 6153 10760
1986,10360 8610 16818 5715 12934 10619 11141 4910 272 12952
1990,18708 8934 160 18768 12282 11166 9 238 11283 8828
1993,1977 18171 10019 12179 7640 14785 17993 4130 6879 6875
1997,1981 19921 7193 17192 1300 1032 16791 7611 15688 14930
2000,16909 18701 15543 10926 3919 16861 19205 16662 10841 11246
2004,6221 8959 15694 9407 17256 15952 13198 3085 10316 20244
2005,1133 5359 11544 8491 13002 16891 2756 12314 13642 2006
2014,342 9489 18627 14724 725 4858 2984 3267 12299 5735
2015,3197 7301 17258 142 13622 8142 13824 9508 4865 7904
2022,14306 5751 15134 8430 16395 20296 10307 13448 3485 19513
2024,20135 19837 17188 19523 8425 19630 10228 10189 14384 392
2031,1372 8152 11744 20282 16831 5905 15771 18874 1149 6872
2032,7649 8610 10308 15680 1719 16698 15 14777 8464 14702
2036,7961 18758 17635 15099 11885 9880 7865 14370 4553 18645
2037,9120 17896 3701 524 3709 15179 12186 15223 7027 11512
2042,14824 8016 18760 6651 2466 2559 12639 7925 5030 5799
2045,19638 3729 16690 6441 7647 10308 8610 2103 9338 7241
2057,2902 4580 13497 9107 16316 11794 20027 9019 9444 20049
2061,1453 9461 3779 18956 8426 7578 4986 3602 10654 19307
2068,16118 9907 16536 10957 3709 20334 8215 18907 16030 4515
2070,7798 16802 3701 18281 19606 10201 5815 4725 1232 18312
2074,1054 6548 13623 8498 16336 8720 13589 9081 19860 7398
2077,18138 17510 4162 3278 1026 19479 14597 5799 7925 5030
2079,1299 7163 1532 99 3727 18129 19823 1405 7918 12083
2080,7882 9978 15900 20099 4545 16483 2151 10420 14008 16798
2085,19082 5415 19444 4185 18382 9594 14559 15633 6182 9062
2086,2384 8283 7455 19955 14646 10027 18489 7360 6874 6875
2096,27 3813 9705 873 16910 1398 10264 2067 12693 3463
2104,5169 18855 13671 14309 6892 12999 4057 3002 8208 20037
2107,17046 1655 5395 12065 5685 10807 13087 1643 19528 8699
2112,18608 17201 18476 9603 15392 14026 20265 13211 10704 3041
2114,20254 6367 5252 18285 13155 7000 11282 2885 3535 6925
2125,4923 1678 6923 7803 10527 4686 3433 4013 14944 3749
2126,1970 17464 5453 18716 16381 11959 2845 10070 6797 16307
2134,2503 7899 10193 13776 4858 18627 3780 14117 12087 5735
2137,3729 15320 7039 2897 16298 1686 8608 14612 4177 15329
2142,12165 15500 4834 6841 9488 16646 11393 15731 15492 1057
2162,1947 20099 1655 10074 6764 8610 10308 18916 1815 19878
2164,6865 16466 5087 3392 13397 3771 5593 10686 9136 14558
